Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,316.79998779296875,322.0,313.54998779296875,319.54998779296875,315.5472717285156,13410060
2019-01-02,316.0,320.75,309.20001220703125,312.79998779296875,308.8818054199219,387315
2019-01-03,312.0,315.45001220703125,308.1499938964844,313.1499938964844,309.2274475097656,319643
2019-01-04,313.0,324.3999938964844,313.0,322.6000061035156,318.55908203125,483158
2019-01-07,322.70001220703125,327.6000061035156,322.3500061035156,324.45001220703125,320.38592529296875,419178
2019-01-08,325.3999938964844,331.5,323.20001220703125,328.8500061035156,324.73077392578125,240349
2019-01-09,330.5,340.0,327.45001220703125,335.1499938964844,330.9518737792969,365698
2019-01-10,335.20001220703125,338.25,332.6000061035156,337.25,333.02557373046875,117158
2019-01-11,337.25,338.8500061035156,329.5,334.04998779296875,329.8656311035156,268884
2019-01-14,334.04998779296875,334.1000061035156,317.95001220703125,331.8999938964844,327.7425537109375,146405
2019-01-15,330.0,338.79998779296875,326.45001220703125,337.6499938964844,333.4205322265625,259228
2019-01-16,337.5,345.0,331.25,333.3500061035156,329.1744384765625,380779
2019-01-17,334.0,338.1000061035156,330.29998779296875,332.29998779296875,328.1375732421875,169537
2019-01-18,331.45001220703125,332.3500061035156,305.1000061035156,310.95001220703125,307.0550231933594,740387
2019-01-21,317.70001220703125,317.70001220703125,306.29998779296875,310.45001220703125,306.5612487792969,365341
2019-01-22,312.70001220703125,312.70001220703125,302.0,304.25,300.4389343261719,272259
2019-01-23,307.0,307.5,303.0,304.04998779296875,300.2414245605469,173923
2019-01-24,304.25,307.95001220703125,294.79998779296875,301.6000061035156,297.8221130371094,352833
2019-01-25,304.0,311.5,302.0,307.04998779296875,303.2038269042969,301014
2019-01-28,308.8999938964844,308.8999938964844,294.95001220703125,304.8999938964844,301.0807800292969,187786
2019-01-29,309.0,309.70001220703125,301.6499938964844,307.1000061035156,303.25323486328125,138429
2019-01-30,309.8999938964844,312.6499938964844,300.0,303.3500061035156,299.55023193359375,172107
2019-01-31,305.0,310.54998779296875,303.8500061035156,307.1499938964844,303.3025817871094,248458
2019-02-01,305.95001220703125,320.45001220703125,305.25,311.29998779296875,307.4006042480469,464428
2019-02-04,311.0,311.04998779296875,302.25,306.6000061035156,302.759521484375,174683
2019-02-05,295.5,310.6000061035156,293.29998779296875,307.8500061035156,303.99383544921875,804950
2019-02-06,308.0,309.8999938964844,301.1499938964844,308.29998779296875,304.4382019042969,262537
2019-02-07,308.29998779296875,314.0,305.20001220703125,310.95001220703125,307.0550231933594,190944
2019-02-08,310.8999938964844,314.3999938964844,306.20001220703125,313.6000061035156,309.6717834472656,155539
2019-02-11,316.8999938964844,316.8999938964844,311.29998779296875,313.04998779296875,309.1286926269531,116890
2019-02-12,312.0,315.29998779296875,310.0,311.5,307.5981140136719,91185
2019-02-14,310.0,310.0,296.8500061035156,301.04998779296875,297.27899169921875,249933
2019-02-15,301.8500061035156,305.6000061035156,297.8500061035156,304.3500061035156,300.5376892089844,173850
2019-02-18,305.20001220703125,309.0,300.20001220703125,302.5,298.7108459472656,99276
2019-02-19,301.20001220703125,313.20001220703125,301.04998779296875,304.25,300.4389343261719,265290
2019-02-20,305.0,310.79998779296875,305.0,309.54998779296875,305.6725158691406,159600
2019-02-21,307.0,311.0,302.95001220703125,310.20001220703125,306.31439208984375,184750
2019-02-22,309.70001220703125,316.20001220703125,308.04998779296875,313.0,309.079345703125,155905
2019-02-25,313.0,319.8999938964844,312.04998779296875,318.04998779296875,314.0660400390625,151090
2019-02-26,318.0,320.20001220703125,301.0,315.3500061035156,311.39990234375,182664
2019-02-27,320.95001220703125,325.0,314.6499938964844,319.95001220703125,315.9422607421875,205806
2019-02-28,324.1499938964844,326.8500061035156,316.04998779296875,317.95001220703125,313.96734619140625,209054
2019-03-01,320.5,320.5,302.6000061035156,307.04998779296875,303.2038269042969,1154411
2019-03-05,308.0,309.5,304.0,308.04998779296875,304.1913146972656,1713983
2019-03-06,313.79998779296875,313.79998779296875,307.8500061035156,309.3500061035156,305.4750671386719,283691
2019-03-07,309.5,312.29998779296875,307.75,308.75,304.882568359375,353869
2019-03-08,309.5,312.3500061035156,307.6000061035156,308.75,304.882568359375,314596
2019-03-11,309.0,336.6000061035156,308.0,333.70001220703125,329.52001953125,586241
2019-03-12,333.0,354.0,329.1000061035156,350.79998779296875,346.40582275390625,1695008
2019-03-13,349.0,356.3999938964844,335.3999938964844,337.3500061035156,333.1242980957031,668848
2019-03-14,338.45001220703125,346.0,334.95001220703125,342.8500061035156,338.555419921875,339695
2019-03-15,344.45001220703125,344.45001220703125,331.5,337.0,332.7787170410156,399373
2019-03-18,337.04998779296875,343.5,329.3500061035156,330.6499938964844,326.50823974609375,259639
2019-03-19,332.8999938964844,339.0,332.8999938964844,336.6499938964844,332.4330749511719,243323
2019-03-20,336.6499938964844,339.3500061035156,332.1000061035156,333.75,329.56939697265625,182054
2019-03-22,336.0,347.20001220703125,329.5,331.1499938964844,327.0019836425781,415201
2019-03-25,332.04998779296875,334.79998779296875,323.5,327.20001220703125,323.1014709472656,196182
2019-03-26,328.0,331.1000061035156,326.5,328.20001220703125,324.08892822265625,229366
2019-03-27,330.0,333.1499938964844,321.04998779296875,323.29998779296875,319.2502746582031,206898
2019-03-28,323.0,333.1499938964844,318.25,330.45001220703125,326.310791015625,175837
2019-04-01,332.0,344.8999938964844,332.0,340.25,335.9880065917969,366390
